 Дата,День недели,Место ,Тема занятий,Описание
 24.11.2022,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"Рассказ о клубе и предстоящей школе, районах УТП. Знакомство с инструкторами и будущими руководителями школы"
 01.12.2022,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,  Личное и бивачное снаряжение для горных походов 1-2 к.с.
 03.12.2022,сб,,Тренировка Вестра,ПВД
 08.12.2022,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"Биваки. Движение группы на маршруте, привалы и ночлеги. Узлы"
 15.12.2022,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Специальное снаряжение для горного туризма. Использование страховочного снаряжения.  Точки и станции (на одной надежной точке). Групповая страховка и самостраховка.
 17-18.12.2022,сб-вс,пл. Новоподрезково,Тренировка Вестра,"Бивак. ИСС, самостраховка, передвижение по перилам. Выход совместно со школой СУ. "
 22.12.2022,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"ОФП, физ подготовка к походу 1-2 кс. Узлы"
 24-25.12.2022,сб-вс,пл. Новоподрезково,Тренировка Вестра,"Новый год (совместно с другими школами), командообразование."
 12.01.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Снег. Специфика и опасности. Техника передвижения по снежным склонам. Самостраховка и самозадержание на снежном склоне.
 14.01.2023,сб,Москва,Тренировка Вестра,Установочный семинар для инструкторов-стажеров. снег
 15.01.2023,вс,Москва,Тренировка Вестра,Техника передвижения по снежным склонам. Самостраховка и самозадержание на снежном склоне. 
 19.01.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Горообразование. Формы горного рельефа
 21.01.2023,сб,Москва,Тренировка Вестра,Установочный семинар для инструкторов-стажеров. лед
 22.01.2023,вс,"Москва, парк",Тренировка Вестра,Оценка физической подготовленности. Зачет по физподготовке
 26.01.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Лед. Специфика и опасности. Передвижение по открытым и закрытым ледникам. Групповая страховка на снежных и ледовых склонах. 
 28-29.01.2023,сб-вс,Пл. Санаторная,Тренировка Вестра,"Передвижение по снежным и ледовым склонам, страховка и самостраховка, самозадержание . Техника прохождения закрытого ледника. Организация снежного убежища. "
 02.02.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра," Опасности гор, причины травматизма и анализ несчастных случаев. Организация и проведение поисково-спасательных работ."
 09.02.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Транспортировка пострадавшего различными способами. Подстраховка пострадавшего на разных формах рельефа. 
 11-12.02.2023,сб-вс,Полушкино,Тренировка Вестра,Движение в связках.  Транспортировка пострадавшего различными способами. Вязка носилок. *Техника передвижения по ледовым склонам. Страховка и самостраховка. 
 16.02.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Основы топографии. План и карта. 
 21.2.2023,вт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Система блоков. Полиспаст. Особенности наведения переправ
 02.03.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Ориентирование на местности.
 4.3.2023,сб,"Москва, Подмосковье",Тренировка Вестра,Оринтирование на местности. 
 5.3.2023,вс,Москва,Тренировка Вестра,Отработка технических приемов. Навесная переправа. Подготовка к ПСР.
 09.03.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Медицина 1. 
 16.03.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Медицина 2.
 18-19.03.2023,сб-вс,Полушкино,Тренировка Вестра,ПСР
 23.03.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Питание в походе. Составление раскладки. Выдача домашнего задания.
 30.03.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Техника передвижения по скалам и травянистым склонам. Скальное снаряжение
 01-02.04.2023,сб-вс,Полушкино,Тренировка Вестра,Подготовка к ТГТ
 06.04.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Классификация маршрутов и препятствий в горном туризме. Правила проведения спортивного похода. Основная документация. МКК. 
 13.04.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"Обзор горных районов РФ и ближнего зарубежья. Семинар по теме «Документы, необходимые для оформления спортивных походов» ."
 15-16.04.2023,сб-вс,Полушкино,Тренировка Вестра,Соревнования по ТГТ
 20.04.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"Организация и проведение соревнований и слетов. Спортивный туризм в единой всероссийской классификации. Разрядные требования (для III-I разрядов)""."
 22.04.2023,сб,Москва,Тренировка Вестра,"Занятие «Обязанности в группе». (отдельно для штурманов, медиков, завхозов, снаряженцев, реммастеров, фотографов и летописцев) "
 27.04.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Туристские возможности родного края. Природоохранная деятельность в походе.
 11.05.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Преодоление водных препятствий
 14-15.05.2023,сб-вс,Рожайка,Тренировка Вестра,"Переправы вброд, бревно. Подготовка к кросс-походу."
 18.05.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,"Фотосъемка в походе. Ведение хронометража и летописи. (""Наблюдения в походе""). Написание отчета о совершенном походе"
 21-22.05.2023 ,сб-вс,Подмосковье,Тренировка Вестра,ММБ. Факультативно
 25.05.2023,чт,Волочаевская улица. 38Ас1. Москва,Лекция Вестра,Система подготовки туристских кадров. Школы туристской подготовки. Права и обязанности руководителя и участников. Техника безопасности в УТП. Страхование жизни. Средства спутниковой связи
 27-28.05.2023,сб-вс,Подмосковье,Тренировка Вестра,Комплексная подготовка к кросспоходу
 09-10.06.2023,сб-вс,Полушкино,Тренировка Вестра,Кросс-поход